Species/Genus,Site ,Removal Height (cm),Mass (g),Notes,Hatch count,Estimated hatch counts,,Site Name,Removal Height,Eggs Hatched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n=,0,,,,,,,159,Low,2225,,Mass of empty brown bag = 6.3362 g ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pine,159,<40,8.4445,,High,600,,159,High,625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maple,159,<40,7.8856,,Medium,75,,160,Low,1825,,Hatch count:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oak,159,<40,36.3612,,Very high,1500,,160,High,100,,None=,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birch,159,<40,6.9963,,Low,25,,161,Low,1500,,Low=,<50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pine,159,>40,5.1430,,Low,25,,161,High,600,,Medium=,>50<200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maple,159,>40,6.9787,,Low,25,,162,Low,1725,,High=,>200<1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oak,159,>40,13.4761,,High,600,,162,High,625,,Very high=,>1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birch,159,>40,6.9430,,None,0,,163,Low,2250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picnic table,159,,7.0316,,None,0,,163,High,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pine,160,<40,7.3642,White,Medium,75,,164,Low,675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maple,160,<40,7.5702,Red,Medium,75,,164,High,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
