"","tree_genus","site_ID","removal_height_cm","mass_g","notes","hatch","hatch_count"
"2","Pine","159","<40",8.4445,"NA","High",600
"3","Maple","159","<40",7.8856,"NA","Medium",75
"4","Oak","159","<40",36.3612,"NA","Very high",1500
"5","Birch","159","<40",6.9963,"NA","Low",25
"6","Pine","159",">40",5.143,"NA","Low",25
"7","Maple","159",">40",6.9787,"NA","Low",25
"8","Oak","159",">40",13.4761,"NA","High",600
"9","Birch","159",">40",6.943,"NA","None",0
"10","inanimate","159",NA,7.0316,"NA","None",0
"11","Pine","160","<40",7.3642,"White","Medium",75
"12","Maple","160","<40",7.5702,"Red","Medium",75
"13","Maple","160","<40",9.2696,"Silver","Medium",75
"14","Oak","160","<40",24.77,"Red","Very high",1500
"15","Birch","160","<40",8.396,"White","Medium",75
"16","Dead tree","160","<40",6.8265,"NA","Low",25
"17","Pine","160",">40",7.2357,"White","None",0
"18","Maple","160",">40",7.3383,"Red","None",0
"19","Maple","160",">40",6.8805,"Silver","None",0
"20","Oak","160",">40",11.5808,"Red","Medium",75
"21","Birch","160",">40",6.7787,"White","Low",25
"22","Dead tree","160",">40",6.8591,"NA","None",0
"23","Pine","161","<40",33.6645,"White","Very high",1500
"24","Pine","161",">40",16.2874,"White","High",600
"25","Pine","162","<40",8.0421,"White","Medium",75
"26","Maple","162","<40",8.0714,"NA","Medium",75
"27","Oak","162","<40",19.6114,"NA","Very high",1500
"28","inanimate","162","<40",6.8845,"Verify site…","Medium",75
"29","Pine","162",">40",7.0638,"White","Low",25
"30","Maple","162",">40",6.6246,"NA","None",0
"31","Oak","162",">40",13.95,"NA","High",600
"32","Pine","163","<40",9.5006,"White","Medium",75
"33","Maple","163","<40",9.219,"Red","High",600
"34","Oak","163","<40",16.8205,"Red","Very high",1500
"35","Oak","163","<40",6.6896,"White","Medium",75
"36","Pine","163",">40",4.45,"White","Low",25
"37","Maple","163",">40",8.5936,"Red","Low",25
"38","Oak","163",">40",9.9217,"Red","Medium",75
"39","Pine","164","<40",11.4163,"White","High",600
"40","Maple","164","<40",7.3873,"Red","Medium",75
"41","Pine","164",">40",8.3165,"White","Medium",75
"42","Maple","164",">40",7.381,"Red","None",0
"43","Pine","165","<40",18.6972,"White","Very high",1500
"44","Maple","165","<40",9.287,"Red","High",600
"45","Pine","165",NA,6.7146,"on trunk? (ground?) - White","Low",25
"46","Oak","165","<40",20.2531,"Red","Very high",1500
"47","Ash","165","<40",15.2811,"NA","High",600
"48","Pine","165",">40",10.2568,"White","Medium",75
"49","Maple","165",">40",7.0876,"Red","None",0
"50","Oak","165",">40",10.6577,"Red","High",600
"51","Ash","165",">40",6.8,"NA","Medium",75
"52","Pine","167","<40",30.4855,"NA","Very high",1500
"53","Pine","167","<40",20.1,"White","Very high",1500
"54","Maple","167","<40",7.9918,"Red","Medium",75
"55","Oak","167","<40",8.5781,"Red","Medium",75
"56","Birch","167","<40",6.847,"NA","Low",25
"57","Beech","167","<40",8.7345,"NA","High",600
"58","Pine","167",">40",16.6474,"NA","High",600
"59","Pine","167",">40",14.4159,"White","High",600
"60","Maple","167",">40",7.0529,"Red","None",0
"61","Oak","167",">40",7.2245,"Red","None",0
"62","Beech","167",">40",7.7245,"NA","Low",25
"63","Pine","168","<40",14.8701,"NA","Very high",1500
"64","Maple","168","<40",7.8117,"NA","Medium",75
"65","Oak","168","<40",20.4222,"NA","Very high",1500
"66","Birch","168","<40",6.5755,"NA","None",0
"67","Pine","168",">40",10.2435,"NA","Medium",75
"68","Maple","168",">40",7.5865,"NA","Medium",75
"69","Oak","168",">40",11.1107,"NA","High",600
"70","Birch","168",">40",6.859,"NA","None",0
"71","Pine","170","<40",20.8458,"White","Very high",1500
"72","Maple","170","<40",8.8434,"Red","High",600
"73","Oak","170","<40",7.2318,"Red","Medium",75
"74","Beech","170","<40",9.827,"NA","High",600
"75","Hackberry","170","<40",6.8968,"?? - UK sp.","None",0
"76","Pine","170",">40",7.7762,"White","Medium",75
"77","Maple","170",">40",7.1031,"Red","Medium",75
"78","Oak","170",">40",6.8745,"Red","Low",25
"79","Beech","170",">40",7.5016,"NA","Low",25
"80","Pine","171","<40",12.9622,"NA","High",600
"81","Pine","171","<40",10.3347,"White","Very high",1500
"82","Maple","171","<40",7.6178,"NA","High",600
"83","Oak","171","<40",20.0344,"NA","Very high",1500
"84","Oak","171","<40",8.8734,"White","High",600
"85","Birch","171","<40",6.5834,"NA","None",0
"86","Birch","171","<40",6.7475,"NA","Low",25
"87","Pine","171",">40",9.9097,"NA","Medium",75
"88","Pine","171",">40",6.9108,"White","High",600
"89","Maple","171",">40",6.8996,"NA","Medium",75
"90","Oak","171",">40",10.7814,"NA","High",600
"91","Oak","171",">40",6.8275,"White","None",0
"92","Hackberry","171",">40",6.6956,"NA","None",0
"93","Oak","NA","<40",11.3687,"Red","Very high",1500
