Species/Genus,ID#,DBH Diameter (cm),Time,Removal Height (cm),Quantity Removed,Distance from site (m),Observers,Notes,Entered by
White Pine,159-1,7,10:30,<40,low,0,"Noa, Riana, Kenneth",,
White Pine,159-1,7,10:30,>40,low,0,"Noa, Riana, Kenneth",,
White Pine,159-1,7,10:30,out of reach,high,0,"Noa, Riana, Kenneth",,
Oak,159-2,13.5,10:30,<40,high,0,"Noa, Riana, Kenneth",Many eggs in crevices at base of tree,
Oak,159-2,13.5,10:30,>40,low,0,"Noa, Riana, Kenneth",,
Oak,159-2,13.5,10:30,out of reach,medium,0,"Noa, Riana, Kenneth",,
White Pine,159-3,12.5,10:30,<40,high,2,"Noa, Riana, Kenneth",,
White Pine,159-3,12.5,10:30,>40,medium,2,"Noa, Riana, Kenneth",,
White Pine,159-3,12.5,10:30,out of reach,high,2,"Noa, Riana, Kenneth",,
White Pine,159-4,9,10:30,<40,low,2,"Noa, Riana, Kenneth",,
White Pine,159-4,9,10:30,>40,low,2,"Noa, Riana, Kenneth",,
White Pine,159-4,9,10:30,out of reach,low,2,"Noa, Riana, Kenneth",,
Maple,159-5,8,10:30,<40,low,1,"Noa, Riana, Kenneth",,
Maple,159-5,8,10:30,>40,low,1,"Noa, Riana, Kenneth",,
Maple,159-5,8,10:30,out of reach,low,1,"Noa, Riana, Kenneth",,
Maple,159-6,5.5,10:30,<40,low,2,"Noa, Riana, Kenneth",,
Maple,159-6,5.5,10:30,>40,undetected,2,"Noa, Riana, Kenneth",,
Maple,159-6,5.5,10:30,out of reach,undetected,2,"Noa, Riana, Kenneth",,
Maple,159-7,3.5,10:30,<40,low,2,"Noa, Riana, Kenneth",,
Maple,159-7,3.5,10:30,>40,low,2,"Noa, Riana, Kenneth",,
Maple,159-7,3.5,10:30,out of reach,low,2,"Noa, Riana, Kenneth",,
Maple,159-8,?,10:30,<40,low,2,"Noa, Riana, Kenneth",,
Maple,159-8,?,10:30,>40,undetected,2,"Noa, Riana, Kenneth",,
Maple,159-8,?,10:30,out of reach,low,2,"Noa, Riana, Kenneth",,
Birch,159-9,14,11:30,<40,high,2,"Noa, Riana, Kenneth",,
Birch,159-9,14,11:30,>40,medium,2,"Noa, Riana, Kenneth",,
Birch,159-9,14,11:30,out of reach,medium,2,"Noa, Riana, Kenneth",,
Oak,159-10,24,11:30,<40,low,1,"Noa, Riana, Kenneth",,
Oak,159-10,24,11:30,>40,undetected,1,"Noa, Riana, Kenneth",,
Oak,159-10,24,11:30,out of reach,low,1,"Noa, Riana, Kenneth",,
Pine,159-11,20.5,11:30,<40,low,1,"Noa, Riana, Kenneth",,
Pine,159-11,20.5,11:30,>40,undetected,1,"Noa, Riana, Kenneth",,
Pine,159-11,20.5,11:30,out of reach,low,1,"Noa, Riana, Kenneth",,
Oak,159-12,15,11:30,<40,high,1,"Noa, Riana, Kenneth",,
Oak,159-12,15,11:30,>40,high,1,"Noa, Riana, Kenneth",,
Oak,159-12,15,11:30,out of reach,high,1,"Noa, Riana, Kenneth",,
Maple,159-13,2.5,11:30,<40,low,2,"Noa, Riana, Kenneth",,
Maple,159-13,2.5,11:30,>40,low,2,"Noa, Riana, Kenneth",,
Maple,159-13,2.5,11:30,out of reach,undetected,2,"Noa, Riana, Kenneth",,
Maple,159-14,1,11:30,<40,low,2,"Noa, Riana, Kenneth",,
Maple,159-14,1,11:30,>40,low,2,"Noa, Riana, Kenneth",,
Maple,159-14,1,11:30,out of reach,undetected,2,"Noa, Riana, Kenneth",,
Oak,159-15,6,11:30,<40,undetected,2,"Noa, Riana, Kenneth",,
Oak,159-15,6,11:30,>40,undetected,2,"Noa, Riana, Kenneth",,
Oak,159-15,6,11:30,out of reach,low,2,"Noa, Riana, Kenneth",,
Oak,159-16,5,11:30,<40,undetected,2,"Noa, Riana, Kenneth",,
Oak,159-16,5,11:30,>40,low,2,"Noa, Riana, Kenneth",,
Oak,159-16,5,11:30,out of reach,low,2,"Noa, Riana, Kenneth",,
Oak,159-17,5,13:00,<40,low,2,"Riana, Kenneth",,
Oak,159-17,5,13:00,>40,undetected,2,"Riana, Kenneth",,
Oak,159-17,5,13:00,out of reach,low,2,"Riana, Kenneth",,
Oak,159-18,60,13:00,<40,high,1,"Riana, Kenneth",,
Oak,159-18,60,13:00,>40,high,1,"Riana, Kenneth",,
Oak,159-18,60,13:00,out of reach,high,1,"Riana, Kenneth",,
Oak,159-19,64,13:00,<40,high,2,"Riana, Kenneth",,
Oak,159-19,64,13:00,>40,high,2,"Riana, Kenneth",,
Oak,159-19,64,13:00,out of reach,high,2,"Riana, Kenneth",,
Birch,159-20,5,13:00,<40,undetected,2,"Riana, Kenneth",,
Birch,159-20,5,13:00,>40,undetected,2,"Riana, Kenneth",,
Birch,159-20,5,13:00,out of reach,low,2,"Riana, Kenneth",,
Pine,159-21,20,13:00,<40,low,1,"Riana, Kenneth",,
Pine,159-21,20,13:00,>40,undetected,1,"Riana, Kenneth",,
Pine,159-21,20,13:00,out of reach,low,1,"Riana, Kenneth",,
Pine,159-22,14,13:00,<40,low,2,"Riana, Kenneth",,
Pine,159-22,14,13:00,>40,undetected,2,"Riana, Kenneth",,
Pine,159-22,14,13:00,out of reach,high,2,"Riana, Kenneth",,
Birch,159-23,5,13:00,<40,undetected,2,"Riana, Kenneth",,
Birch,159-23,5,13:00,>40,low,2,"Riana, Kenneth",,
Birch,159-23,5,14:00,out of reach,low,2,"Riana, Kenneth",,
Maple,159-24,1,14:00,<40,undetected,1,"Riana, Kenneth",,
Maple,159-24,1,14:00,>40,low,1,"Riana, Kenneth",,
Maple,159-24,1,14:00,out of reach,undetected,1,"Riana, Kenneth",,
Maple,159-25,3,14:00,<40,low,2,"Riana, Kenneth",,
Maple,159-25,3,14:00,>40,low,2,"Riana, Kenneth",,
Maple,159-25,3,14:00,out of reach,undetected,2,"Riana, Kenneth",,
Pine,159-26,11,14:00,<40,undetected,2,"Riana, Kenneth",Dead,
Pine,159-26,11,14:00,>40,low,2,"Riana, Kenneth",,
Pine,159-26,11,14:00,out of reach,undetected,2,"Riana, Kenneth",,
Maple,159-27,5,14:00,<40,low,2,"Riana, Kenneth",,
Maple,159-27,5,14:00,>40,undetected,2,"Riana, Kenneth",,
Maple,159-27,5,14:00,out of reach,medium,2,"Riana, Kenneth",,
Birch,159-28,3,14:00,<40,undetected,?,"Riana, Kenneth",,
Birch,159-28,3,14:00,>40,low,?,"Riana, Kenneth",,
Birch,159-28,3,14:00,out of reach,undetected,?,"Riana, Kenneth",,
White Pine,160-1,50.5,10:50,<40,high,0,"Bella, Lingshan, Marie-Eve",,
